batch_id,timestamp,machine_id,temperature,pressure,ph_level,batch_yield
BATCH-01479,2025-02-01 14:53:06,INSP-UNIT-1,37.864,2.04,7.077,90.041
BATCH-01514,2025-01-09 14:29:45,PACK-LINE-X,37.523,1.901,7.039,93.516
BATCH-01286,2025-01-15 22:09:02,INSP-UNIT-1,37.556,2.035,7.108,91.799
BATCH-01468,2025-01-27 10:08:44,INSP-UNIT-1,37.475,2.153,7.223,91.544
BATCH-01354,2025-01-07 10:42:12,INSP-UNIT-1,,1.931,,91.452
BATCH-01453,2025-01-06 00:46:15,INSP-UNIT-1,36.605,2.074,7.076,92.407
BATCH-01376,2025-01-31 22:02:12,FORM-LINE-B,36.834,2.3,7.411,93.41
BATCH-01167,2025-01-23 13:31:49,BIO-FILL-02,37.266,2.112,7.161,90.966
BATCH-01050,2025-01-10 15:21:13,PACK-LINE-X,37.569,1.989,7.014,93.686
BATCH-01380,2025-01-09 14:57:23,INSP-UNIT-2,37.219,2.06,7.13,93.229
BATCH-01140,2025-01-27 04:12:33,BIO-FILL-03,38.182,2.033,6.875,91.182
BATCH-01153,2025-01-15 09:41:01,INSP-UNIT-2,37.287,2.217,7.046,93.816
BATCH-01485,2025-01-31 11:29:00,INSP-UNIT-1,37.964,2.178,6.938,90.686
BATCH-01265,2025-01-24 01:44:16,BIO-FILL-02,37.237,3.836,8.063,115.804
BATCH-01063,2025-01-16 17:54:39,BIO-FILL-02,36.885,,7.001,91.763
BATCH-01441,2025-01-11 20:40:53,BIO-FILL-03,44.371,1.969,8.372,120.644
BATCH-01090,2025-02-03 18:47:10,FORM-LINE-A,37.161,2.114,7.176,92.516
BATCH-01075,2025-01-27 09:43:16,BIO-FILL-02,37.406,1.963,7.149,89.406
BATCH-01180,2025-01-28 06:33:21,INSP-UNIT-1,36.606,2.15,6.888,92.939
BATCH-01033,2025-01-27 15:39:45,INSP-UNIT-2,36.8,1.997,6.982,93.175
BATCH-01077,2025-01-21 02:43:14,BIO-FILL-01,37.445,2.102,6.963,93.256
BATCH-01333,2025-01-11 02:45:04,FORM-LINE-A,37.313,2.1,7.099,92.008
BATCH-01000,2025-01-31 19:11:24,INSP-UNIT-2,37.447,2.237,7.008,92.314
BATCH-01011,2025-01-11 15:59:30,PACK-LINE-X,37.441,1.932,7.133,92.378
BATCH-01498,2025-01-10 07:17:32,FORM-LINE-A,37.471,,7.13,91.442
BATCH-01022,2025-01-25 05:38:29,BIO-FILL-02,36.837,,7.11,91.745
BATCH-01117,2025-01-26 07:44:16,PACK-LINE-X,37.959,2.109,7.021,94.931
BATCH-01287,2025-01-10 21:19:41,PACK-LINE-X,36.944,2.104,7.135,94.245
BATCH-01312,2025-01-28 19:53:44,FORM-LINE-A,36.608,1.951,7.153,89.442
BATCH-01516,2025-01-27 09:15:56,BIO-FILL-03,36.262,2.161,7.171,92.242
BATCH-01255,2025-01-09 03:00:40,BIO-FILL-02,36.915,,7.025,88.864
BATCH-01297,2025-01-25 23:15:22,BIO-FILL-03,36.955,1.949,6.92,90.124
BATCH-01018,2025-02-01 04:36:30,BIO-FILL-03,37.376,1.954,7.034,
BATCH-01185,2025-01-17 07:41:20,INSP-UNIT-2,37.384,2.142,7.261,93.18
BATCH-01137,2025-01-16 12:59:35,INSP-UNIT-2,37.596,2.121,7.085,91.511
BATCH-01015,2025-01-07 06:25:56,INSP-UNIT-1,37.029,2.151,7.11,93.953
BATCH-01228,2025-01-18 18:05:28,BIO-FILL-01,37.444,2.117,,92.25
BATCH-01039,2025-02-03 15:40:48,FORM-LINE-B,37.052,2.035,7.277,93.107
BATCH-01481,2025-01-21 01:25:33,PACK-LINE-X,36.772,2.126,7.173,91.306
BATCH-01046,2025-01-29 19:02:03,BIO-FILL-03,37.023,1.973,7.111,91.855
BATCH-01093,2025-02-01 21:46:37,FORM-LINE-B,37.535,2.086,7.167,92.216
BATCH-01316,2025-01-16 02:05:22,FORM-LINE-B,37.709,2.296,6.977,93.245
BATCH-01355,2025-01-25 16:37:01,BIO-FILL-02,37.772,2.184,7.038,95.781
BATCH-01457,2025-01-27 08:41:40,PACK-LINE-X,36.506,2.029,7.201,92.675
BATCH-01375,2025-01-06 21:41:17,INSP-UNIT-2,37.468,2.165,6.95,94.078
BATCH-01444,2025-01-31 13:08:02,FORM-LINE-B,37.725,2.098,7.17,92.407
BATCH-01507,2025-01-09 10:44:43,BIO-FILL-01,37.247,1.925,7.298,93.481
BATCH-01244,2025-01-12 08:13:13,BIO-FILL-03,37.95,2.025,7.217,91.641
BATCH-01184,2025-01-21 09:30:28,INSP-UNIT-2,36.479,2.194,7.134,90.833
BATCH-01320,2025-01-20 06:06:59,INSP-UNIT-2,36.536,2.116,7.099,90.423
BATCH-01261,2025-01-12 05:37:25,BIO-FILL-02,37.226,2.055,7.301,95.155
BATCH-01159,2025-01-13 01:32:36,PACK-LINE-X,38.068,2.061,7.133,
BATCH-01155,2025-02-02 01:38:03,BIO-FILL-02,36.925,2.164,7.14,93.535
BATCH-01369,2025-01-31 08:28:02,PACK-LINE-X,36.92,2.109,7.068,90.391
BATCH-01069,2025-01-18 14:02:21,INSP-UNIT-1,,2.033,7.134,93.242
BATCH-01367,2025-01-19 09:32:02,BIO-FILL-03,36.933,2.188,7.085,92.026
BATCH-01310,2025-01-20 11:42:55,BIO-FILL-03,36.58,2.01,7.096,90.732
BATCH-01176,2025-01-22 23:01:31,FORM-LINE-A,37.105,2.065,7.068,95.615
BATCH-01336,2025-01-14 17:53:32,BIO-FILL-02,37.843,2.193,7.197,94.354
BATCH-01437,2025-01-12 02:40:36,PACK-LINE-X,37.44,2.135,6.944,92.643
BATCH-01362,2025-01-26 21:51:24,BIO-FILL-03,37.567,2.02,,91.363
BATCH-01195,2025-01-20 11:47:58,FORM-LINE-B,36.905,2.116,7.028,94.838
BATCH-01342,2025-01-13 02:52:55,PACK-LINE-X,36.888,2.213,6.981,94.964
BATCH-01431,2025-01-28 14:35:41,INSP-UNIT-1,37.642,2.281,7.078,91.229
BATCH-01154,2025-01-23 09:18:57,PACK-LINE-X,37.048,2.065,6.915,91.65
BATCH-01414,2025-01-17 10:23:17,INSP-UNIT-1,37.317,2.001,6.922,93.359
BATCH-01505,2025-01-24 20:07:30,BIO-FILL-03,37.606,2.082,6.964,89.846
BATCH-01148,2025-01-19 14:53:28,BIO-FILL-01,37.564,1.965,7.25,92.82
BATCH-01365,2025-01-24 22:37:55,BIO-FILL-02,36.452,2.149,7.166,93.162
BATCH-01086,2025-01-15 23:35:22,BIO-FILL-03,36.667,2.156,7.035,
BATCH-01149,2025-01-12 22:48:50,INSP-UNIT-1,37.474,2.105,7.221,90.338
BATCH-01368,2025-01-10 13:49:55,INSP-UNIT-1,37.71,2.111,7.198,91.516
BATCH-01335,2025-01-31 07:52:50,FORM-LINE-B,37.413,2.09,7.127,91.626
BATCH-01461,2025-01-24 23:14:06,PACK-LINE-X,36.665,2.209,7.229,92.808
BATCH-01281,2025-01-31 17:40:50,FORM-LINE-A,37.209,2.241,7.095,92.046
BATCH-01332,2025-01-09 21:35:07,BIO-FILL-02,,2.031,7.059,91.714
BATCH-01411,2025-01-16 01:55:46,BIO-FILL-03,36.895,2.245,7.111,92.014
BATCH-01019,2025-02-01 12:10:27,BIO-FILL-02,37.703,2.2,7.056,92.374
BATCH-01353,2025-01-21 00:30:19,INSP-UNIT-2,,2.224,7.01,91.442
BATCH-01056,2025-01-20 14:51:48,BIO-FILL-02,37.436,1.954,7.129,92.219
BATCH-01204,2025-01-22 14:39:37,BIO-FILL-03,37.657,2.21,7.13,91.699
BATCH-01501,2025-01-08 13:01:47,BIO-FILL-02,37.0,2.13,7.175,91.905
BATCH-01352,2025-01-14 20:17:45,INSP-UNIT-2,36.889,2.054,7.186,93.855
BATCH-01450,2025-01-20 15:08:54,BIO-FILL-03,36.801,2.221,7.05,91.595
BATCH-01291,2025-01-24 00:19:56,FORM-LINE-A,36.877,2.007,7.135,92.47
BATCH-01025,2025-01-10 07:46:56,FORM-LINE-A,37.358,2.178,6.976,90.519
BATCH-01442,2025-01-28 02:38:52,BIO-FILL-01,37.618,2.217,7.123,
BATCH-01042,2025-01-19 12:55:48,PACK-LINE-X,37.145,1.975,7.263,90.355
BATCH-01324,2025-01-19 12:42:12,INSP-UNIT-2,44.966,0.51,5.766,72.755
BATCH-01225,2025-01-23 19:15:12,INSP-UNIT-2,37.423,2.208,7.088,91.847
BATCH-01234,2025-01-17 14:39:31,INSP-UNIT-2,37.274,2.127,7.253,93.262
BATCH-01512,2025-01-24 00:12:09,BIO-FILL-02,37.219,1.998,7.193,92.137
BATCH-01126,2025-01-10 23:09:48,BIO-FILL-01,37.341,2.295,7.169,94.429
BATCH-01347,2025-01-09 09:16:15,INSP-UNIT-1,37.33,2.11,7.255,90.641
BATCH-01031,2025-01-07 08:01:34,FORM-LINE-B,37.558,2.055,7.178,94.068
BATCH-01113,2025-01-22 00:39:35,FORM-LINE-B,36.78,2.048,7.149,90.667
BATCH-01473,2025-01-13 11:27:25,FORM-LINE-A,37.251,2.22,7.078,90.17
BATCH-01231,2025-01-25 08:57:59,BIO-FILL-03,30.837,3.88,5.987,64.695
BATCH-01381,2025-01-14 00:28:44,BIO-FILL-02,37.77,2.105,7.392,92.96
BATCH-01057,2025-01-28 07:04:35,FORM-LINE-B,37.182,2.286,7.248,91.181
BATCH-01218,2025-01-20 11:29:16,BIO-FILL-01,37.462,2.105,6.92,91.53
BATCH-01024,2025-01-27 11:48:46,INSP-UNIT-2,37.589,1.977,7.123,94.461
BATCH-01017,2025-01-07 11:32:28,FORM-LINE-A,37.252,2.077,6.958,91.869
BATCH-01436,2025-01-11 10:12:38,FORM-LINE-A,37.474,2.167,7.17,91.538
BATCH-01066,2025-01-20 18:05:32,PACK-LINE-X,37.833,2.055,7.134,92.479
BATCH-01511,2025-01-17 10:20:26,FORM-LINE-A,37.263,2.11,7.05,93.017
BATCH-01237,2025-02-02 15:55:37,BIO-FILL-03,37.18,2.128,7.075,94.911
BATCH-01410,2025-01-17 04:20:20,INSP-UNIT-1,37.302,2.109,6.878,92.155
BATCH-01094,2025-01-18 15:28:21,PACK-LINE-X,44.984,0.422,7.174,117.883
BATCH-01172,2025-01-21 13:17:42,INSP-UNIT-1,37.205,2.026,7.08,91.229
BATCH-01296,2025-01-23 08:55:48,PACK-LINE-X,37.698,2.102,7.29,92.409
BATCH-01023,2025-01-31 13:48:19,BIO-FILL-03,,2.008,6.117,94.825
BATCH-01284,2025-02-02 21:16:21,INSP-UNIT-1,37.2,2.078,7.109,91.63
BATCH-01503,2025-01-23 22:21:57,BIO-FILL-02,37.401,2.091,7.142,91.204
BATCH-01229,2025-01-25 15:01:15,PACK-LINE-X,37.242,2.231,7.005,89.257
BATCH-01005,2025-01-06 18:55:48,BIO-FILL-02,37.575,1.99,7.213,93.06
BATCH-01116,2025-01-28 10:17:58,BIO-FILL-02,43.536,0.397,5.732,63.146
BATCH-01045,2025-01-18 04:22:56,BIO-FILL-01,37.436,2.214,7.15,94.091
BATCH-01203,2025-01-14 22:12:28,INSP-UNIT-1,37.381,2.1,7.141,91.342
BATCH-01489,2025-01-15 04:05:30,INSP-UNIT-1,37.608,1.926,7.158,92.401
BATCH-01016,2025-01-06 21:02:46,BIO-FILL-02,36.957,2.067,7.061,90.305
BATCH-01495,2025-01-10 06:35:49,FORM-LINE-A,37.036,1.946,7.209,91.419
BATCH-01380,2025-01-09 14:54:23,INSP-UNIT-2,37.219,2.06,7.13,93.229
BATCH-01003,2025-01-13 13:53:31,PACK-LINE-X,37.145,2.084,6.952,94.73
BATCH-01247,2025-01-16 09:06:56,BIO-FILL-03,37.44,2.018,7.155,91.759
BATCH-01208,2025-02-02 22:10:59,INSP-UNIT-1,37.483,2.108,7.154,91.119
BATCH-01060,2025-02-02 15:08:32,FORM-LINE-A,36.182,2.214,6.91,93.399
BATCH-01110,2025-01-19 17:31:33,BIO-FILL-02,36.833,2.225,6.893,91.986
BATCH-01462,2025-01-11 08:58:30,PACK-LINE-X,37.141,2.143,6.837,92.564
BATCH-01278,2025-02-01 15:52:34,INSP-UNIT-2,36.443,2.113,7.203,90.525
BATCH-01029,2025-01-28 02:53:41,BIO-FILL-03,37.275,1.906,7.015,94.547
BATCH-01209,2025-02-02 15:24:38,BIO-FILL-01,37.204,2.01,,94.354
BATCH-01386,2025-01-07 18:58:12,INSP-UNIT-1,36.888,2.03,7.193,95.22
BATCH-01026,2025-01-24 06:39:19,PACK-LINE-X,37.606,2.279,7.157,92.253
BATCH-01007,2025-01-20 03:00:05,FORM-LINE-A,30.651,0.491,8.313,119.473
BATCH-01181,2025-01-06 03:21:55,INSP-UNIT-1,37.277,2.112,7.061,91.859
BATCH-01483,2025-01-22 01:49:37,INSP-UNIT-2,36.846,2.073,7.159,90.843
BATCH-01108,2025-01-24 05:23:43,INSP-UNIT-2,37.312,2.022,7.167,92.328
BATCH-01037,2025-01-08 04:36:47,INSP-UNIT-1,38.143,2.163,6.897,92.78
BATCH-01157,2025-01-20 00:12:35,BIO-FILL-02,43.383,0.87,7.264,94.752
BATCH-01499,2025-02-02 23:20:26,PACK-LINE-X,31.531,0.503,5.619,64.635
BATCH-01118,2025-01-31 23:51:49,BIO-FILL-01,37.258,2.135,7.046,91.333
BATCH-01114,2025-01-06 09:41:51,BIO-FILL-02,37.547,2.225,7.142,92.086
BATCH-01275,2025-01-30 15:56:58,BIO-FILL-02,36.617,2.224,7.09,94.338
BATCH-01175,2025-01-20 20:46:22,INSP-UNIT-2,36.377,2.125,7.074,94.351
BATCH-01211,2025-01-17 18:03:36,BIO-FILL-01,37.151,2.06,7.143,93.003
BATCH-01370,2025-01-10 04:48:36,BIO-FILL-03,36.862,2.035,7.221,92.595
BATCH-01144,2025-01-21 00:37:46,PACK-LINE-X,37.316,2.273,7.062,93.32
BATCH-01194,2025-01-08 23:48:37,FORM-LINE-B,37.413,1.989,7.305,92.917
BATCH-01393,2025-01-15 02:48:58,INSP-UNIT-1,37.648,2.182,7.254,90.816
BATCH-01405,2025-01-26 07:09:27,INSP-UNIT-1,37.623,,7.118,91.781
BATCH-01222,2025-01-24 20:08:07,INSP-UNIT-2,36.611,2.191,7.15,95.933
BATCH-01480,2025-01-30 02:47:11,BIO-FILL-02,37.086,2.164,7.081,92.986
BATCH-01456,2025-01-27 16:20:33,INSP-UNIT-2,37.018,2.097,7.015,93.36
BATCH-01509,2025-01-06 11:09:09,FORM-LINE-B,37.224,2.063,7.049,91.609
BATCH-01141,2025-01-11 16:23:56,BIO-FILL-03,37.476,2.208,7.015,92.657
BATCH-01446,2025-01-16 00:20:56,BIO-FILL-01,37.92,2.135,7.064,94.417
BATCH-01067,2025-01-24 22:12:36,BIO-FILL-03,37.731,2.062,7.031,92.665
BATCH-01280,2025-01-16 02:31:33,BIO-FILL-01,36.847,2.115,,89.085
BATCH-01168,2025-01-27 10:15:17,FORM-LINE-B,37.705,0.48,8.223,92.334
BATCH-01188,2025-01-18 10:58:19,BIO-FILL-01,36.409,2.207,7.321,94.168
BATCH-01245,2025-01-21 11:48:06,FORM-LINE-A,37.997,2.108,7.078,92.025
BATCH-01400,2025-01-20 20:08:36,INSP-UNIT-1,37.149,2.075,7.17,
BATCH-01467,2025-01-17 22:48:19,INSP-UNIT-1,37.445,2.032,7.032,91.959
BATCH-01193,2025-01-06 16:26:22,PACK-LINE-X,37.304,2.138,6.978,91.777
BATCH-01081,2025-01-15 10:25:31,BIO-FILL-02,37.935,2.075,7.158,92.967
BATCH-01109,2025-01-26 17:19:40,FORM-LINE-B,37.315,2.13,7.217,94.06
BATCH-01268,2025-02-01 17:01:37,PACK-LINE-X,38.31,2.118,7.091,92.017
BATCH-01145,2025-01-11 07:18:18,BIO-FILL-03,36.763,2.026,7.007,93.392
BATCH-01092,2025-01-10 09:14:52,BIO-FILL-02,38.246,2.04,7.079,92.739
BATCH-01152,2025-01-14 14:13:26,FORM-LINE-A,37.063,2.213,7.043,93.597
BATCH-01248,2025-01-26 15:58:36,BIO-FILL-03,36.951,1.913,7.092,92.317
BATCH-01451,2025-02-02 20:22:06,BIO-FILL-01,36.985,2.158,7.116,91.834
BATCH-01397,2025-01-22 10:25:20,PACK-LINE-X,36.825,2.017,7.217,93.026
BATCH-01416,2025-01-24 05:51:57,INSP-UNIT-2,37.015,2.202,7.309,90.121
BATCH-01083,2025-02-01 20:10:49,FORM-LINE-B,36.6,2.121,7.065,89.334
BATCH-01103,2025-02-03 16:03:34,FORM-LINE-A,37.044,2.106,7.209,89.961
BATCH-01165,2025-01-14 10:38:17,BIO-FILL-02,37.952,2.054,7.273,94.113
BATCH-01163,2025-01-14 08:16:41,INSP-UNIT-2,37.365,2.02,7.281,93.037
BATCH-01199,2025-02-01 21:05:12,FORM-LINE-A,36.809,2.148,7.174,92.119
BATCH-01302,2025-01-24 04:07:37,FORM-LINE-B,,2.068,7.233,93.643
BATCH-01074,2025-02-03 12:01:32,FORM-LINE-B,37.244,2.18,7.072,90.003
BATCH-01494,2025-01-30 06:27:16,INSP-UNIT-1,37.172,2.134,7.296,92.46
BATCH-01348,2025-02-01 08:52:28,PACK-LINE-X,36.639,2.117,7.124,92.165
BATCH-01502,2025-01-07 01:51:18,FORM-LINE-B,37.139,1.943,7.059,89.917
BATCH-01119,2025-01-21 19:40:53,BIO-FILL-03,37.332,2.002,7.141,89.946
BATCH-01298,2025-01-08 05:10:20,PACK-LINE-X,36.591,2.19,7.052,92.72
BATCH-01323,2025-01-27 20:24:55,BIO-FILL-01,37.454,2.245,7.114,94.314
BATCH-01432,2025-01-20 09:36:39,BIO-FILL-03,36.978,2.194,7.186,95.616
BATCH-01377,2025-01-31 06:22:06,PACK-LINE-X,37.174,2.182,7.093,94.131
BATCH-01426,2025-01-29 00:20:15,BIO-FILL-03,37.508,2.011,7.246,91.821
BATCH-01388,2025-01-24 03:35:46,INSP-UNIT-1,37.854,2.142,,93.107
BATCH-01271,2025-01-22 18:43:16,INSP-UNIT-2,37.997,2.122,7.019,93.395
BATCH-01448,2025-01-22 23:34:52,BIO-FILL-02,36.722,2.035,7.122,91.871
BATCH-01500,2025-01-26 03:05:22,FORM-LINE-A,36.857,1.985,7.002,92.092
BATCH-01408,2025-01-21 17:15:26,FORM-LINE-B,37.392,2.067,7.039,90.872
BATCH-01399,2025-01-15 05:21:23,BIO-FILL-02,37.788,2.206,7.151,92.389
BATCH-01250,2025-01-30 14:59:59,FORM-LINE-A,37.604,2.188,7.136,92.573
BATCH-01290,2025-01-28 06:41:54,FORM-LINE-B,37.492,2.22,7.019,
BATCH-01036,2025-01-11 08:07:23,INSP-UNIT-2,37.024,2.178,7.095,
BATCH-01196,2025-01-29 00:34:11,FORM-LINE-B,36.809,2.106,7.133,93.092
BATCH-01139,2025-01-23 12:42:22,INSP-UNIT-1,38.292,2.147,6.93,92.766
BATCH-01253,2025-01-30 08:38:03,INSP-UNIT-1,37.574,2.177,7.223,92.35
BATCH-01301,2025-01-19 20:58:54,BIO-FILL-02,37.993,1.993,7.181,92.958
BATCH-01059,2025-01-22 20:08:28,FORM-LINE-A,37.6,2.213,7.046,90.37
BATCH-01111,2025-01-21 07:31:02,FORM-LINE-B,37.095,1.959,7.022,90.834
BATCH-01340,2025-01-29 16:02:20,BIO-FILL-01,37.386,2.13,7.162,90.792
BATCH-01272,2025-01-17 21:25:57,FORM-LINE-B,36.831,2.214,7.232,92.323
BATCH-01262,2025-02-02 06:23:07,INSP-UNIT-1,36.819,2.24,7.106,91.529
BATCH-01384,2025-02-03 18:51:51,FORM-LINE-B,37.587,2.211,7.293,92.605
BATCH-01150,2025-01-25 04:11:11,INSP-UNIT-1,37.563,2.198,7.03,
BATCH-01406,2025-01-19 03:56:51,BIO-FILL-01,36.511,2.02,6.857,93.968
BATCH-01038,2025-01-25 01:25:11,BIO-FILL-01,36.92,2.089,7.15,93.799
BATCH-01334,2025-01-14 12:09:43,BIO-FILL-02,37.315,0.779,8.162,119.889
BATCH-01198,2025-01-22 07:53:42,INSP-UNIT-1,37.449,1.872,7.125,95.876
BATCH-01472,2025-01-14 21:10:42,PACK-LINE-X,36.787,2.102,7.189,91.524
BATCH-01146,2025-01-06 13:34:34,FORM-LINE-B,37.683,2.091,7.123,92.271
BATCH-01418,2025-01-16 15:23:44,INSP-UNIT-1,37.251,1.999,7.109,91.112
BATCH-01147,2025-01-31 17:36:01,BIO-FILL-02,37.156,2.1,7.182,90.266
BATCH-01434,2025-01-08 03:15:14,INSP-UNIT-2,36.792,1.958,7.211,91.274
BATCH-01433,2025-01-30 20:17:54,BIO-FILL-02,37.842,,7.16,93.89
BATCH-01123,2025-01-18 06:20:22,BIO-FILL-01,37.197,2.156,6.925,92.314
BATCH-01392,2025-01-26 11:15:55,FORM-LINE-A,,2.111,7.012,94.562
BATCH-01096,2025-01-11 01:52:54,BIO-FILL-01,37.257,1.871,7.243,94.322
BATCH-01143,2025-01-07 10:59:51,BIO-FILL-01,37.628,2.104,7.287,93.731
BATCH-01239,2025-01-30 13:02:19,BIO-FILL-03,37.417,3.349,8.44,67.916
BATCH-01289,2025-01-14 17:45:11,INSP-UNIT-2,37.864,2.065,7.189,92.845
BATCH-01097,2025-01-09 23:17:34,BIO-FILL-02,36.883,2.271,7.097,
BATCH-01421,2025-01-23 00:51:07,PACK-LINE-X,37.649,2.192,7.207,92.163
BATCH-01373,2025-01-24 13:16:10,PACK-LINE-X,36.872,,7.018,93.558
BATCH-01122,2025-01-30 12:25:24,FORM-LINE-A,36.995,1.959,7.008,90.472
BATCH-01183,2025-01-20 18:37:27,INSP-UNIT-2,37.333,2.074,7.118,
BATCH-01202,2025-01-17 17:13:04,BIO-FILL-02,37.76,2.262,6.946,92.902
BATCH-01246,2025-01-11 15:04:35,FORM-LINE-A,38.297,2.066,7.069,92.598
BATCH-01325,2025-01-18 14:54:05,PACK-LINE-X,,2.103,7.161,91.805
BATCH-01469,2025-01-20 05:53:16,BIO-FILL-01,37.441,0.0,7.097,91.516
BATCH-01374,2025-01-15 07:33:27,INSP-UNIT-1,36.937,2.109,7.019,91.254
BATCH-01318,2025-01-12 19:59:41,FORM-LINE-A,45.347,2.095,8.295,116.412
BATCH-01422,2025-02-02 11:26:07,INSP-UNIT-1,37.927,2.061,7.033,94.066
BATCH-01412,2025-01-21 08:37:22,PACK-LINE-X,37.585,1.868,6.993,91.349
BATCH-01125,2025-01-24 14:21:12,BIO-FILL-01,,2.33,7.199,91.608
BATCH-01321,2025-01-24 16:09:34,PACK-LINE-X,37.651,2.159,6.806,93.484
